t1,t2,ph,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.19,8.96,
27.56,27.19,8.97,
27.56,27.19,8.96,
27.56,27.25,8.97,
27.56,27.25,8.96,
27.56,27.19,8.97,
27.56,27.19,8.97,
27.56,27.25,8.96,
27.56,27.19,8.97,
27.56,27.19,8.97,
27.56,27.25,8.97,
27.56,27.25,8.96,
27.56,27.19,8.97,
27.56,27.25,8.97,
27.56,27.19,8.97,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.97,
27.56,27.19,8.96,
27.56,27.25,8.97,
27.56,27.19,8.96,
27.56,27.25,8.97,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.97,
27.56,27.25,8.97,
27.56,27.19,8.97,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.97,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.95,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.95,
27.56,27.25,8.95,
27.56,27.25,8.95,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.96,
27.56,27.25,8.94,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.95,
27.56,27.25,8.95,
27.56,27.25,8.96,
27.56,27.25,8.91,
27.56,27.25,8.91,
27.56,27.25,8.91,
27.56,27.25,8.92,
27.56,27.25,8.92,
27.56,27.25,8.92,
27.56,27.25,8.91,
27.56,27.25,8.90,
27.56,27.25,8.92,
27.56,27.25,8.92,
27.56,27.19,8.92,
27.56,27.25,8.93,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.92,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
